"No","DITA File Path","Document Type","Transformation Status","XSLT Pipeline Applied","Failed XSLT","Error Line","Error Description"
"1","output/Printer_Setup_UserGuide/adjusting_print_quality/adjusting_print_quality.dita","CONCEPT","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> concept.xsl","","",""
"2","output/Printer_Setup_UserGuide/adjusting_print_quality/aligning_the_print_head_using_the_product_control_panel.dita","TASK","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> task.xsl","","",""
"3","output/Printer_Setup_UserGuide/adjusting_print_quality/checking_the_nozzles_using_a_computer_utility.dita","TASK","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> task.xsl","","",""
"4","output/Printer_Setup_UserGuide/adjusting_print_quality/checking_the_nozzles_using_the_product_control_panel.dita","TASK","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> task.xsl","","",""
"5","output/Printer_Setup_UserGuide/adjusting_print_quality/checking_the_number_of_sheets_fed.dita","CONCEPT","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> concept.xsl","","",""
"6","output/Printer_Setup_UserGuide/adjusting_print_quality/checking_the_number_of_sheets_on_the_lcd_screen.dita","TASK","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> task.xsl","","",""
"7","output/Printer_Setup_UserGuide/adjusting_print_quality/checking_the_sheet_counter_mac.dita","TASK","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> task.xsl","","",""
"8","output/Printer_Setup_UserGuide/adjusting_print_quality/checking_the_sheet_counter_windows.dita","TASK","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> task.xsl","","",""
"9","output/Printer_Setup_UserGuide/adjusting_print_quality/cleaning_the_paper_guide.dita","TASK","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> task.xsl","","",""
"10","output/Printer_Setup_UserGuide/adjusting_print_quality/cleaning_the_print_head_path.dita","TASK","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> task.xsl","","",""
"11","output/Printer_Setup_UserGuide/adjusting_print_quality/cleaning_the_print_head_using_a_computer_utility.dita","TASK","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> task.xsl","","",""
"12","output/Printer_Setup_UserGuide/adjusting_print_quality/cleaning_the_print_head_using_the_product_control_panel.dita","TASK","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> task.xsl","","",""
"13","output/Printer_Setup_UserGuide/adjusting_print_quality/power_cleaning.dita","CONCEPT","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> concept.xsl","","",""
